"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"407","2020","Salinity",0.07,0.07,8,NA,NA,NA,"OWCK","CATO"
"408","2020","Specific conductance",150.9,152.06,8,NA,NA,NA,"OWCK","CATO"
"409","2020","Temperature, water",5.3,5.38,8,NA,NA,NA,"OWCK","CATO"
"410","2021","Salinity",0.08,0.08,6,0.01,0.07,0.08,"OWCK","CATO"
"411","2021","Specific conductance",162.65,161.68,6,15.51,145.41,177.96,"OWCK","CATO"
"412","2021","Temperature, water",11.85,10.65,6,7.2,3.09,18.21,"OWCK","CATO"
"413","2022","Salinity",0.08,0.08,6,0.01,0.07,0.09,"OWCK","CATO"
"414","2022","Specific conductance",165.8,162.9,6,12.16,150.14,175.66,"OWCK","CATO"
"415","2022","Temperature, water",7.5,9.23,6,8.27,0.56,17.91,"OWCK","CATO"
"416","2023","Salinity",0.07,0.07,4,0,0.07,0.07,"OWCK","CATO"
"417","2023","Specific conductance",156.3,153.32,4,6.94,142.28,164.37,"OWCK","CATO"
"418","2023","Temperature, water",11.7,11.4,4,5.32,2.94,19.86,"OWCK","CATO"
"419","2005","Salinity",0.06,0.06,4,0.01,0.06,0.07,"BGHC","CATO"
"420","2005","Specific conductance",140.7,264.12,9,393.56,-38.39,566.64,"BGHC","CATO"
"421","2005","Temperature, water",14.2,13.29,9,4.71,9.67,16.91,"BGHC","CATO"
"422","2006","Salinity",0.1,0.08,26,0.02,0.07,0.09,"BGHC","CATO"
"423","2006","Specific conductance",116.4,111.5,27,20.13,103.54,119.47,"BGHC","CATO"
"424","2006","Temperature, water",9,10.6,26,6.03,8.17,13.03,"BGHC","CATO"
"425","2007","Salinity",0.1,0.08,35,0.03,0.07,0.09,"BGHC","CATO"
"426","2007","Specific conductance",130.45,131.04,32,14.28,125.9,136.19,"BGHC","CATO"
"427","2007","Temperature, water",12.7,10.45,35,7.01,8.04,12.86,"BGHC","CATO"
"428","2008","Salinity",0.1,0.09,27,0.02,0.08,0.09,"BGHC","CATO"
"429","2008","Specific conductance",148.4,146.13,29,22.24,137.67,154.59,"BGHC","CATO"
"430","2008","Temperature, water",12.1,11.04,29,5.44,8.97,13.11,"BGHC","CATO"
"431","2009","Salinity",0.07,0.09,25,0.13,0.04,0.15,"BGHC","CATO"
"432","2009","Specific conductance",139.7,142.18,23,9.68,137.99,146.37,"BGHC","CATO"
"433","2009","Temperature, water",16.6,12.73,23,6.01,10.13,15.33,"BGHC","CATO"
"434","2010","Salinity",0.07,0.07,32,0.01,0.07,0.08,"BGHC","CATO"
"435","2010","Specific conductance",144.5,145.16,33,15.14,139.79,150.53,"BGHC","CATO"
"436","2010","Temperature, water",13.8,11.15,32,5.77,9.07,13.23,"BGHC","CATO"
"437","2011","Salinity",0.07,0.07,25,0.02,0.07,0.08,"BGHC","CATO"
"438","2011","Specific conductance",146.3,150.28,25,34.78,135.92,164.64,"BGHC","CATO"
"439","2011","Temperature, water",13.3,12.18,25,5.71,9.83,14.54,"BGHC","CATO"
"440","2012","Salinity",0.06,0.06,24,0.01,0.06,0.07,"BGHC","CATO"
"441","2012","Specific conductance",130.05,134.94,24,19.82,126.57,143.31,"BGHC","CATO"
"442","2012","Temperature, water",8.3,9.69,24,5.75,7.26,12.12,"BGHC","CATO"
"443","2013","Salinity",0.07,0.07,27,0,0.07,0.07,"BGHC","CATO"
"444","2013","Specific conductance",144.8,146.39,27,8.12,143.18,149.6,"BGHC","CATO"
"445","2013","Temperature, water",11.1,10.84,27,6.65,8.21,13.48,"BGHC","CATO"
"446","2014","Salinity",0.08,0.08,14,0.01,0.07,0.08,"BGHC","CATO"
"447","2014","Specific conductance",163.2,161.01,14,28.45,144.58,177.43,"BGHC","CATO"
"448","2014","Temperature, water",14.3,11.34,14,5.81,7.99,14.7,"BGHC","CATO"
